id,factoryId,name_ru,name_en,description_ru,description_en,photo,order,published
pudu-4,pudu,FlashBot,FlashBot,Робот доставки с автономным вызовом лифта — доставляет заказы между этажами без участия человека.,A delivery robot with autonomous elevator calling — delivers orders between floors without human help.,,4,да
pudu-5,pudu,CC1,CC1,"Клининговый робот: мойка, подметание и пылесос в одном корпусе, баки на 15 и 17 л, мощность всасывания до 17 000 Па.","A cleaning robot combining scrubbing, sweeping and vacuuming: 15/17-liter tanks, up to 17,000 Pa suction.",,5,да
pudu-6,pudu,SH1,SH1,Поломоечная машина с мгновенной сушкой пола — экономит до 80% воды и моющих средств по сравнению с обычной шваброй.,An upright scrubber-dryer with instant floor drying — saves up to 80% on water and cleaning agents versus a mop.,,6,да
orionstar-1,orionstar,Серия Leopard,Leopard series,"Роботы доставки для ресторанов, гостиниц и складов — более 20 сценариев использования, от подачи блюд до уборки посуды.","Delivery robots for restaurants, hotels and warehouses — over 20 use scenarios, from serving dishes to bussing tables.",,1,да
orionstar-2,orionstar,Кофе-робот,Coffee robot,"Робот-бариста на двух шестиосевых руках с машинным зрением: варит чашку кофе за 3 минуты, до 500 чашек в сутки без остановки.","A barista robot on two six-axis arms with machine vision: brews a cup in 3 minutes, up to 500 cups a day non-stop.",,2,да
deeprobotics-1,deeprobotics,X20,X20,"Промышленный робот-собака для инспекции: степень защиты IP66, работа при -20…+55 °C, преодолевает уступы от 20 см и уклоны до 45°.","An industrial inspection quadruped: IP66-rated, operates at -20…+55 °C, clears 20 cm+ steps and slopes up to 45°.",,1,да
deeprobotics-2,deeprobotics,X30,X30,"Старшая модель для автономного патрулирования: степень защиты IP67, автономность 2,5–4 часа, повышенная плотность датчиков восприятия.","The flagship model for autonomous patrolling: IP67-rated, 2.5–4 hours of runtime, higher-density perception sensors.",,2,да
deeprobotics-3,deeprobotics,Lite3,Lite3,"Компактный робот-собака массой 12,2–13,5 кг: грузоподъёмность 2,5–4,5 кг, преодолевает уклоны до 40° и препятствия до 18 см, автономность 1,5–2 часа.","A compact quadruped weighing 12.2–13.5 kg: 2.5–4.5 kg payload, climbs 40° slopes and 18 cm obstacles, 1.5–2 hours of runtime.",,3,да
deeprobotics-4,deeprobotics,Jueying Lite,Jueying Lite,"Базовая исследовательская платформа линейки, предшественница Lite3 — для отработки алгоритмов ходьбы и захвата данных.","The line's base research platform, Lite3's predecessor — for gait-algorithm development and data capture.",,4,да
matrixrobotics-1,matrixrobotics,MATRIX-1,MATRIX-1,"Первое поколение флагмана: рост 180 см, вес 67 кг, скорость до 7,6 км/ч, автономность около 5 часов от батареи 2,28 кВт·ч. Кисти на 22 степени свободы поднимают по 10 кг каждая.","The first-generation flagship: 180 cm tall, 67 kg, up to 7.6 km/h, roughly 5 hours of runtime from a 2.28 kWh battery. 22-DoF hands, each lifting 10 kg.",,2,да
droidup-1,droidup,Xingzhe-1,Xingzhe-1,"Более ранняя версия биомиметического робота на тросово-сухожильном приводе, предшественница Xingzhe-2.","An earlier version of the cable-tendon-driven biomimetic robot, the predecessor to Xingzhe-2.",,3,да
droidup-2,droidup,Xueba 01,Xueba 01,"Модификация корпуса Xingzhe-2: рост 1,75 м, вес около 30 кг, силиконовая кожа с мимикой; стал известен как первый робот, зачисленный в аспирантуру (Шанхайская театральная академия, 2025).","A body variant of Xingzhe-2: 1.75 m tall, about 30 kg, silicone skin with facial expressions; became known as the first robot enrolled in a PhD program (Shanghai Theatre Academy, 2025).",,4,да
robotera-1,robotera,STAR1,STAR1,"Полноразмерный гуманоид: 55 степеней свободы, момент в шарнирах до 400 Н·м, скорость на пересечённой местности до 12,8 км/ч.","A full-size humanoid: 55 degrees of freedom, up to 400 N·m joint torque, up to 12.8 km/h across rough terrain.",,2,да
robotera-2,robotera,M7,M7,"Версия L7 без ног — только верхняя часть тела, для задач, не требующих перемещения.","An upper-body-only variant of L7, for tasks that don't require mobility.",,3,да
robotera-3,robotera,XHAND1,XHAND1,"Пятипалая кисть с полным прямым приводом: 12 активных степеней свободы, скорость движения пальцев позволяет до 10 касаний в секунду.","A five-fingered, fully direct-drive hand: 12 active degrees of freedom, finger speed enabling up to 10 taps per second.",,4,да
agibot-1,agibot,Yuanzheng A2,Yuanzheng A2,"Полноразмерный промышленный гуманоид: рост 1,69 м, до 49 степеней свободы, скорость до 7 км/ч, грузоподъёмность до 80 кг; свыше 960 единиц уже развёрнуто на производствах.","A full-size industrial humanoid: 1.69 m tall, up to 49 degrees of freedom, up to 7 km/h, up to 80 kg payload; 960+ units already deployed on factory floors.",,1,да
agibot-2,agibot,Lingxi X1,Lingxi X1,"Полностью открытая (open-source) платформа гуманоида — схемы, ПО и алгоритмы доступны разработчикам бесплатно.","A fully open-source humanoid platform — schematics, software and algorithms are freely available to developers.",,2,да
agibot-3,agibot,Genie,Genie,"Универсальная ИИ-модель Go-1 (Genie Operator-1) для управления гуманоидами: архитектура «зрение-язык-latent-действие» объединяет распознавание образов, речь и планирование движений.","The Go-1 (Genie Operator-1) universal AI model for humanoid control: a vision-language-latent-action architecture combining perception, speech and motion planning.",,3,да
ubtech-1,ubtech,Walker S,Walker S,"Полноразмерная двуногая платформа: 36 сервоприводов, ходьба, координация «рука-глаз», навигация U-SLAM, мультимодальное взаимодействие.","A full-size bipedal platform: 36 servo joints, bipedal walking, hand-eye coordination, U-SLAM navigation, multimodal interaction.",,1,да
ubtech-2,ubtech,Cruzr,Cruzr,"Колёсный сервисный робот со связью с облаком: навигация, распознавание лиц, обработка естественного языка — приветствие и консультирование посетителей.","A cloud-connected wheeled service robot: navigation, facial recognition, natural-language processing — greeting and assisting visitors.",,2,да
ubtech-3,ubtech,Yanshee,Yanshee,"Образовательный гуманоид с открытой платформой для проектов по ИИ, зрению и распознаванию речи.","An educational humanoid on an open platform for AI, vision and speech projects.",,3,да
ubtech-4,ubtech,Alpha,Alpha,Образовательный гуманоид для школьных курсов STEM и программирования.,An educational humanoid for school STEM and coding courses.,,4,да
fourier-1,fourier,GR-1,GR-1,"Гуманоид ростом 165 см, весом 55 кг, 40 степеней свободы, скорость ходьбы до 5 км/ч.","A 165 cm, 55 kg humanoid with 40 degrees of freedom, walking speed up to 5 km/h.",,1,да
fourier-2,fourier,GR-2,GR-2,"Рост 175 см, вес 63 кг, 53 степени свободы, момент в приводах до 380 Н·м, кисти на 12 степеней свободы, съёмная батарея на 2 часа автономности.","175 cm, 63 kg, 53 degrees of freedom, up to 380 N·m actuator torque, 12-DoF hands, a detachable battery for 2 hours of runtime.",,2,да
fourier-3,fourier,ExoMotus,ExoMotus,Экзоскелет нижних конечностей для реабилитации — помогает пациентам со травмами позвоночника заново научиться ходить.,A lower-limb rehabilitation exoskeleton — helps patients with spinal injuries relearn to walk.,,3,да
zerith-1,zerith,Серия Z,Z series,"Двуногий гуманоид Z1: 27 степеней свободы, пиковый момент в шарнирах 150 Н·м, устойчив на неровных поверхностях благодаря собственной EtherCAT-электронике.","The Z1 bipedal humanoid: 27 degrees of freedom, 150 N·m peak joint torque, stable on uneven surfaces via the company's own EtherCAT electronics.",,1,да
zerith-2,zerith,Серия H,H series,"Колёсный гуманоид H1 для гостиниц: уборка ванных комнат, пылесос, мытьё полов, пополнение расходников — свыше 100 единиц в месяц серийного выпуска.","The H1 wheeled humanoid for hospitality: bathroom cleaning, vacuuming, mopping, restocking supplies — over 100 units a month in series production.",,2,да
daxrobotics-1,daxrobotics,X7 Pro,X7 Pro,"Гуманоид ростом 170 см, 26 степеней свободы, двурукая бионическая кисть с грузоподъёмностью до 10 кг на пару, 3D-датчики на запястьях и голове, ИИ-платформа XBrain 2.0.","A 170 cm humanoid, 26 degrees of freedom, dual bionic arms lifting up to 10 kg combined, wrist- and head-mounted 3D sensors, the XBrain 2.0 AI platform.",,1,да
daxrobotics-2,daxrobotics,X7 EDU,X7 EDU,Образовательная версия X7: та же платформа с упрощёнными 23 степенями свободы для университетских лабораторий.,"The educational version of X7: the same platform with a simplified 23 degrees of freedom, for university labs.",,2,да
daxrobotics-3,daxrobotics,Puppy,Puppy,Компактная исследовательская платформа компании для отработки алгоритмов передвижения.,The company's compact research platform for locomotion-algorithm development.,,3,да
qio-1,qio,O1,O1,"Полноразмерный гуманоид (Qinglong): рост 185 см, вес 80 кг, 43 активные степени свободы, пиковый момент 400 Н·м, ходьба до 1 м/с с грузом до 40 кг; 3D-лидар и камеры глубины для полного восприятия окружения.","A full-size humanoid (Qinglong): 185 cm, 80 kg, 43 active degrees of freedom, 400 N·m peak torque, walking up to 1 m/s while carrying 40 kg; 3D lidar and depth cameras for full environmental awareness.",,1,да
robbyant-1,robbyant,R2,R2,Гуманоидная платформа компании для отработки универсальной модели управления роботами.,The company's humanoid platform for developing a universal robot-control model.,,1,да
robbyant-2,robbyant,LingBot,LingBot,"Программная платформа LingBot-VLA — модель «зрение-язык-действие» с обучением на десятках тысяч часов реальных манипуляций, переносимая на роботов разных производителей.","The LingBot-VLA software platform — a vision-language-action model trained on tens of thousands of hours of real manipulation data, portable across robots from different makers.",,2,да
robbyant-3,robbyant,LingBot-Vision,LingBot-Vision,Модуль восприятия глубины LingBot-Depth — открытый компонент для оснащения роботов трёхмерным зрением.,The LingBot-Depth perception module — an open component for equipping robots with 3D vision.,,3,да
kepler-1,kepler,K2 Forerunner,K2 Forerunner,"Гуманоид ростом 178 см, весом 85 кг: 52 степени свободы, пятипалые тросовые кисти на 11 степеней свободы с грузоподъёмностью до 15 кг и тактильными датчиками (96 точек на палец), батарея 2,33 кВт·ч на 8 часов работы.","A 178 cm, 85 kg humanoid: 52 degrees of freedom, cable-driven five-finger hands with 11 DoF lifting up to 15 kg and tactile sensors (96 points per fingertip), a 2.33 kWh battery for 8 hours of operation.",,1,да
leju-1,leju,Kuavo,Kuavo,"Модульный гуманоид: момент в шарнирах до 360 Н·м, всенаправленная ходьба до 4,6 км/ч, сменные конечности и кисти под разные задачи.","A modular humanoid: up to 360 N·m joint torque, omnidirectional walking up to 4.6 km/h, interchangeable limbs and hands for different tasks.",,1,да
leju-2,leju,Aelos,Aelos,Образовательный гуманоид на 19 степенях свободы для программирования и обучения робототехнике.,A 19-DoF educational humanoid for programming and robotics education.,,2,да
leju-3,leju,Roban,Roban,"Образовательный гуманоид на 22 степенях свободы с алгоритмами походки, программированием на Python и связью по Bluetooth.","A 22-DoF educational humanoid with gait algorithms, Python programming and Bluetooth connectivity.",,3,да
limx-1,limx,CL-1,CL-1,Исследовательская платформа-предшественница серийного TRON 1 — отработка динамической ходьбы на двух ногах.,A research-stage predecessor to the production TRON 1 — used to develop dynamic bipedal walking.,,1,да
limx-2,limx,TRON1,TRON1,"Модульная платформа со сменными типами стоп: точечная опора, подошва для ходьбы или колёсный модуль. Электропривод на 48 В: 30 Н·м постоянного момента, 80 Н·м пикового.","A modular platform with swappable foot ends: point-foot, sole (humanoid walking) or wheeled. 48 V electric actuators: 30 N·m continuous, 80 N·m peak torque.",,2,да
limx-3,limx,P1,P1,"Двуногий робот для пересечённой местности, обученный на алгоритмах обучения с подкреплением — предшественник коммерческого TRON 1.",A biped for rough terrain trained via reinforcement learning — the predecessor to the commercial TRON 1.,,3,да
engineai-1,engineai,PM01,PM01,Открытая (open-source) модульная платформа гуманоида с сенсорным экраном и управлением на основе end-to-end нейросети — для исследований и разработки.,An open-source modular humanoid platform with a touchscreen and end-to-end neural-network locomotion control — for research and development.,,1,да
engineai-2,engineai,SE01,SE01,Полноразмерный гуманоид с естественной походкой на end-to-end нейросетевой модели: 32 степени свободы.,A full-size humanoid with natural gait via an end-to-end neural-network model: 32 degrees of freedom.,,2,да
engineai-3,engineai,T800,T800,"Флагман: рост 173 см, вес 75 кг, 29 степеней свободы в корпусе плюс 7 на кисть, момент до 450 Н·м, скорость ходьбы до 7 м/с, твердотельная батарея на около 3 часов работы.","The flagship: 173 cm, 75 kg, 29 body DoF plus 7 per hand, up to 450 N·m torque, walking speed up to 7 m/s, a solid-state battery for roughly 3 hours of operation.",,3,да
xhumanoid-1,xhumanoid,Tiangong,Tiangong,"Полноразмерный гуманоид (версия 3.0): рост 169 см, вес 62 кг, 43 степени свободы, скорость до 12 км/ч; первым в мире прошёл более 100 ступеней подряд, а версия Ultra выиграла гуманоидный полумарафон.","A full-size humanoid (version 3.0): 169 cm, 62 kg, 43 degrees of freedom, up to 12 km/h; the first humanoid to climb 100+ stairs in a row, with the Ultra variant winning a humanoid half-marathon.",,1,да
